"","x","y"
"292",70.39,117.43
"293",81.55,128.65
"294",63.52,141.61
"295",80.69,135.56
"296",90.99,139.88
"297",144.21,134.7
"298",104.72,161.47
"299",77.25,146.79
"300",111.59,158.01
"301",54.08,145.92
"302",66.95,158.01
"303",63.52,153.69
"304",84.98,143.33
"305",109.87,126.06
"306",114.16,164.92
"307",99.57,162.33
"308",106.44,138.15
"309",94.42,108.8
"310",62.66,169.24
"311",69.53,140.74
"312",71.24,165.78
"313",89.27,138.15
"314",70.39,157.15
"315",54.08,156.29
"316",110.73,151.97
"317",93.56,134.7
"318",67.81,134.7
"319",78.97,140.74
"320",89.27,147.65
"321",113.3,144.2
"322",86.7,141.61
"323",112.45,132.11
"324",86.7,131.24
"325",79.83,145.92
"326",108.15,138.15
"327",158.8,149.38
"328",134.76,156.29
"329",71.24,156.29
"330",138.2,150.24
"331",88.41,132.11
"332",69.53,151.97
"333",86.7,145.06
"334",68.67,138.15
"335",115.02,91.53
"336",99.57,142.47
"337",107.3,106.2
"338",94.42,139.02
"339",54.08,134.7
"340",70.39,93.25
"341",79.83,104.48
"342",85.84,133.84
"343",68.67,132.97
"344",82.4,140.74
"345",70.39,158.88
"346",149.36,126.06
"347",72.96,135.56
"348",124.46,129.52
"349",130.47,147.65
"350",101.29,151.1
"351",134.76,155.42
"352",86.7,158.01
"353",86.7,147.65
"354",78.97,138.15
"355",100.43,143.33
"356",60.94,170.1
"357",60.09,143.33
"358",99.57,140.74
"359",89.27,118.29
"360",116.74,141.61
"361",100.43,148.51
"362",108.15,127.79
"363",55.79,155.42
"364",117.6,165.78
"365",109.87,144.2
"366",107.3,141.61
"367",60.94,164.06
"368",96.14,126.06
"369",82.4,121.75
"370",83.26,99.3
"371",73.82,94.98
"372",86.7,144.2
"373",102.15,126.06
"374",82.4,149.38
"375",103.86,142.47
"376",133.05,151.1
"377",97,147.65
"378",79.83,142.47
"379",67.81,152.83
"380",90.99,148.51
"381",72.1,152.83
"382",104.72,119.16
"383",92.7,145.06
"384",81.55,129.52
"385",67.81,138.15
"386",130.47,160.6
"387",163.09,156.29
"388",62.66,166.65
"389",142.49,149.38
"390",75.54,138.15
"391",55.79,162.33
"392",58.37,144.2
"393",66.09,125.2
"394",169.1,141.61
"395",96.14,127.79
"396",70.39,142.47
"397",110.73,164.06
"398",88.41,103.61
"399",69.53,136.43
"400",113.3,157.15
"401",136.48,132.11
"402",101.29,164.92
"403",133.91,152.83
"404",98.71,136.43
"405",18.88,140.74
"406",142.49,142.47
"407",63.52,136.43
"408",76.39,133.84
"409",68.67,159.74
"410",50.64,129.52
"411",154.51,132.97
"412",125.32,152.83
"413",96.14,111.39
"414",87.55,144.2
"415",90.13,148.51
"416",116.74,110.52
"417",62.66,152.83
"418",111.59,119.16
"419",57.51,132.11
"420",66.09,147.65
"421",80.69,111.39
"422",92.7,159.74
"423",82.4,157.15
"424",56.65,166.65
"425",145.06,171.83
"426",66.95,164.06
"427",105.58,137.29
"428",112.45,125.2
"429",112.45,81.16
"430",59.23,143.33
"431",55.79,169.24
"432",101.29,107.07
"433",103.86,133.84
"434",63.52,177.87
"435",108.15,183.92
"436",101.29,128.65
"437",114.16,125.2
"438",87.55,139.02
"439",80.69,168.37
"440",132.19,149.38
"441",119.31,149.38
"442",61.8,132.11
"443",74.68,133.84
"444",87.55,138.15
"445",125.32,151.1
"446",100.43,130.38
"447",108.15,120.02
"448",136.48,156.29
"449",48.93,161.47
"450",77.25,149.38
"451",90.13,155.42
"452",84.98,144.2
"453",118.45,172.69
"454",109.01,170.96
"455",133.05,178.73
"456",94.42,151.1
"457",104.72,159.74
"458",153.65,137.29
"459",115.88,158.88
"460",55.79,151.1
"461",60.94,148.51
"462",97,142.47
"463",78.11,143.33
"464",121.89,171.83
"465",72.1,157.15
"466",90.99,145.06
"467",54.94,149.38
"468",87.55,151.97
"469",76.39,176.14
"470",60.94,168.37
"471",86.7,137.29
"472",60.94,172.69
"473",84.12,158.01
"474",94.42,150.24
"475",124.46,150.24
"476",78.11,157.15
"477",60.94,137.29
"478",78.97,170.96
"479",53.22,169.24
"480",79.83,167.51
"481",138.2,158.88
"482",77.25,153.69
"483",64.38,182.19
"484",60.09,165.78
"485",90.13,151.1
"486",73.82,135.56
"487",139.91,136.43
"488",165.67,151.1
"489",139.91,154.56
"490",100.43,136.43
"491",163.95,158.88
"492",133.91,145.92
"493",106.44,138.15
"494",136.48,148.51
"495",122.75,125.2
"496",117.6,156.29
"497",126.18,140.74
"498",121.03,155.42
"499",90.13,91.53
"500",49.79,126.06
"501",151.93,156.29
"502",135.62,130.38
"503",86.7,131.24
"504",109.87,122.61
"505",69.53,158.01
"506",152.79,119.16
"507",119.31,148.51
"508",102.15,133.84
"509",128.76,135.56
"510",128.76,147.65
"511",67.81,141.61
"512",142.49,153.69
"513",61.8,120.02
"514",80.69,165.78
"515",107.3,145.06
"516",128.76,144.2
"517",126.18,143.33
"518",130.47,170.1
"519",116.74,139.88
"520",64.38,114.84
"521",98.71,98.43
"522",75.54,157.15
"523",84.98,151.1
"524",67.81,150.24
"525",88.41,142.47
"526",60.09,154.56
"527",72.96,126.93
"528",89.27,164.06
"529",129.61,167.51
"530",105.58,114.84
"531",99.57,153.69
"532",80.69,146.79
"533",67.81,144.2
"534",102.15,112.25
"535",138.2,132.97
"536",84.12,121.75
"537",147.64,155.42
"538",86.7,124.34
"539",70.39,157.15
"540",89.27,158.01
"541",91.85,140.74
"542",97.85,141.61
"543",93.56,120.88
"544",68.67,142.47
"545",64.38,164.92
"546",73.82,129.52
"547",132.19,120.02
"548",95.28,143.33
"549",85.84,142.47
"550",54.94,128.65
"551",98.71,112.25
